timestamp,execucao,teste,servidor,caminho,num_requisicoes,num_threads,total_requisicoes,sucessos,falhas,taxa_sucesso_%,taxa_erro_%,tempo_total_s,requisicoes_por_segundo,latencia_media_ms,desvio_padrao_ms,cpu_percent
2025-11-19T21:48:56.569724,1,Cenario1_BaixaCarga,nginx,/api/info,100,10,100,100,0,100.0,0.0,0.02,4077.88,1.85,0.83,6.09
2025-11-19T21:48:56.591177,1,Cenario1_BaixaCarga,apache,/api/info,100,10,100,100,0,100.0,0.0,0.02,5499.72,1.54,0.65,6.0
2025-11-19T21:48:56.678394,1,Cenario2_MediaCarga,nginx,/api/status,500,10,500,500,0,100.0,0.0,0.08,6045.15,1.57,0.9,6.09
2025-11-19T21:48:56.766029,1,Cenario2_MediaCarga,apache,/api/status,500,10,500,500,0,100.0,0.0,0.08,6096.44,1.56,0.81,6.0
2025-11-19T21:48:56.947838,1,Cenario3_AltaCarga,nginx,/api/dados,1000,100,1000,1000,0,100.0,0.0,0.18,5637.98,6.88,4.06,6.09
2025-11-19T21:48:57.145996,1,Cenario3_AltaCarga,apache,/api/dados,1000,100,1000,1000,0,100.0,0.0,0.19,5178.73,7.03,3.84,6.57
2025-11-19T21:48:57.165838,1,Cenario4_ArquivoPequeno,nginx,/estatico/pequeno-1kb.txt,50,10,50,50,0,100.0,0.0,0.02,3172.6,2.67,2.48,6.09
2025-11-19T21:48:57.178960,1,Cenario4_ArquivoPequeno,apache,/estatico/pequeno-1kb.txt,50,10,50,50,0,100.0,0.0,0.01,4800.29,1.45,0.57,6.57
2025-11-19T21:48:57.192986,1,Cenario5_ArquivoPequeno,nginx,/estatico/pequeno-10kb.txt,50,10,50,50,0,100.0,0.0,0.01,4337.8,1.85,0.67,6.09
2025-11-19T21:48:57.207220,1,Cenario5_ArquivoPequeno,apache,/estatico/pequeno-10kb.txt,50,10,50,50,0,100.0,0.0,0.01,4301.5,1.83,0.68,6.57
2025-11-19T21:48:57.231830,1,Cenario6_ArquivoPequeno,nginx,/estatico/pequeno-50kb.txt,50,10,50,50,0,100.0,0.0,0.02,2318.04,3.81,1.43,6.09
2025-11-19T21:48:57.259283,1,Cenario6_ArquivoPequeno,apache,/estatico/pequeno-50kb.txt,50,10,50,50,0,100.0,0.0,0.02,2077.21,4.24,1.4,6.57
2025-11-19T21:48:57.305198,1,Cenario7_ArquivoMedio,nginx,/estatico/medio-100kb.txt,50,10,50,50,0,100.0,0.0,0.04,1186.9,7.54,2.11,6.22
2025-11-19T21:48:57.356934,1,Cenario7_ArquivoMedio,apache,/estatico/medio-100kb.txt,50,10,50,50,0,100.0,0.0,0.05,1021.92,8.91,2.34,6.57
2025-11-19T21:48:58.012330,1,Cenario8_ArquivoMedio,nginx,/estatico/medio-500kb.txt,50,10,50,50,0,100.0,0.0,0.65,76.96,122.19,28.33,6.76
2025-11-19T21:48:58.460552,1,Cenario8_ArquivoMedio,apache,/estatico/medio-500kb.txt,50,10,50,50,0,100.0,0.0,0.44,112.97,81.16,24.51,7.04
2025-11-19T21:48:59.502867,1,Cenario9_ArquivoMedio,nginx,/estatico/medio-700kb.txt,50,10,50,50,0,100.0,0.0,1.04,48.24,194.08,45.82,7.51
2025-11-19T21:49:00.453665,1,Cenario9_ArquivoMedio,apache,/estatico/medio-700kb.txt,50,10,50,50,0,100.0,0.0,0.94,52.93,176.89,52.22,7.75
2025-11-19T21:49:02.144775,1,Cenario10_ArquivoGrande,nginx,/estatico/grande-1mb.txt,50,10,50,50,0,100.0,0.0,1.68,29.68,317.92,68.8,8.13
2025-11-19T21:49:03.758265,1,Cenario10_ArquivoGrande,apache,/estatico/grande-1mb.txt,50,10,50,50,0,100.0,0.0,1.61,31.12,299.38,96.67,8.86
2025-11-19T21:49:56.312960,1,Cenario11_ArquivoGrande,nginx,/estatico/grande-5mb.txt,50,10,50,50,0,100.0,0.0,52.55,0.95,10280.45,5572.56,11.45
2025-11-19T21:50:35.662992,1,Cenario11_ArquivoGrande,apache,/estatico/grande-5mb.txt,50,10,50,50,0,100.0,0.0,39.35,1.27,7607.05,653.12,10.3
2025-11-19T21:52:03.136198,1,Cenario12_ArquivoGrande,nginx,/estatico/grande-7mb.txt,50,10,50,50,0,100.0,0.0,87.47,0.57,17225.32,5494.36,11.41
2025-11-19T21:53:18.774526,1,Cenario12_ArquivoGrande,apache,/estatico/grande-7mb.txt,50,10,50,50,0,100.0,0.0,75.63,0.66,14785.78,1272.64,10.03
2025-11-19T21:53:18.802253,2,Cenario1_BaixaCarga,nginx,/api/info,100,10,100,100,0,100.0,0.0,0.02,4157.63,2.04,1.47,9.94
2025-11-19T21:53:18.824842,2,Cenario1_BaixaCarga,apache,/api/info,100,10,100,100,0,100.0,0.0,0.02,5262.28,1.6,0.69,10.03
2025-11-19T21:53:18.926064,2,Cenario2_MediaCarga,nginx,/api/status,500,10,500,500,0,100.0,0.0,0.1,5238.36,1.74,1.02,9.94
2025-11-19T21:53:19.016911,2,Cenario2_MediaCarga,apache,/api/status,500,10,500,500,0,100.0,0.0,0.09,5742.21,1.65,1.16,10.03
2025-11-19T21:53:19.195962,2,Cenario3_AltaCarga,nginx,/api/dados,1000,100,1000,1000,0,100.0,0.0,0.17,5793.31,6.17,3.34,9.94
2025-11-19T21:53:19.386488,2,Cenario3_AltaCarga,apache,/api/dados,1000,100,1000,1000,0,100.0,0.0,0.19,5393.96,6.26,3.39,10.18
